,loss,accuracy,val_loss,val_accuracy
0,0.6588209867477417,0.5963333249092102,0.6419984698295593,0.6209999918937683
1,0.48038822412490845,0.8013333082199097,0.3162823021411896,0.9169999957084656
2,0.26788821816444397,0.9101666808128357,0.3182355761528015,0.871999979019165
3,0.23454394936561584,0.925000011920929,0.2343723028898239,0.9359999895095825
4,0.2155696153640747,0.9315000176429749,0.19681832194328308,0.9355000257492065
5,0.2061450183391571,0.9323333501815796,0.18902496993541718,0.9315000176429749
6,0.20023523271083832,0.9334999918937683,0.17311879992485046,0.9394999742507935
7,0.19436043500900269,0.9319999814033508,0.16636349260807037,0.9449999928474426
8,0.18228448927402496,0.937333345413208,0.16112032532691956,0.9424999952316284
9,0.17793551087379456,0.9388333559036255,0.1694561094045639,0.9424999952316284
10,0.17432352900505066,0.9401666522026062,0.17771531641483307,0.9445000290870667
11,0.1700744926929474,0.9390000104904175,0.1705680638551712,0.9445000290870667
12,0.16545669734477997,0.9424999952316284,0.1770952194929123,0.9459999799728394
13,0.1652601808309555,0.9455000162124634,0.16698269546031952,0.9390000104904175
14,0.157631516456604,0.9466666579246521,0.16471745073795319,0.9524999856948853
15,0.15411388874053955,0.9449999928474426,0.1755048632621765,0.9474999904632568
16,0.15803824365139008,0.9491666555404663,0.15443353354930878,0.9505000114440918
17,0.14998894929885864,0.9483333230018616,0.1542188823223114,0.949999988079071
18,0.14516782760620117,0.9508333206176758,0.16139766573905945,0.9455000162124634
19,0.14751392602920532,0.9514999985694885,0.1528402864933014,0.949999988079071
